prefix;runID;tick;strategistID;p1;p2;p3;actionExecuted;actualProfit;predictedProfit;level;planningHorizon
null;1;0.0;1;0.59;0.4;0.01;;0.0;0.0;2;50.0;
null;1;0.0;0;0.5;0.15;0.35;;0.0;0.0;2;50.0;
null;1;18.0;1;0.59;0.4;0.01;BT3;0.0;0.0;2;50.0;
null;1;30.0;1;0.15;0.49;0.36;BT2;0.0;0.0;2;50.0;
null;1;44.0;1;0.15;0.49;0.36;BT1;0.0;0.0;2;50.0;
null;1;50.0;1;0.15;0.49;0.36;BT1;0.0;0.0;2;50.0;
null;1;56.0;1;0.15;0.49;0.36;BT3;0.0;0.0;2;50.0;
null;1;62.0;1;0.15;0.49;0.36;BT2;0.0;0.0;2;50.0;
null;1;68.0;1;0.15;0.49;0.36;BT3;0.0;0.0;2;50.0;
null;1;74.0;1;0.15;0.49;0.36;BT2;0.0;0.0;2;50.0;
null;1;80.0;1;0.09;0.83;0.08;BT2;0.0;0.0;2;50.0;
null;1;86.0;1;0.09;0.83;0.08;BT2;0.0;0.0;2;50.0;
null;1;92.0;1;0.09;0.83;0.08;BT2;0.0;0.0;2;50.0;
null;1;98.0;1;0.09;0.83;0.08;BT2;0.0;0.0;2;50.0;
null;1;104.0;1;0.09;0.83;0.08;BT3;0.0;0.0;2;50.0;
null;1;105.0;0;0.5;0.15;0.35;RT2;0.0;0.0;2;50.0;
null;1;110.0;1;0.09;0.83;0.08;BT1;0.0;0.0;2;50.0;
null;1;116.0;1;0.09;0.83;0.08;BT3;0.0;0.0;2;50.0;
null;1;122.0;1;0.09;0.83;0.08;BT2;0.0;0.0;2;50.0;
null;1;128.0;1;0.09;0.83;0.08;BT2;0.0;0.0;2;50.0;
null;1;132.0;0;0.09;0.81;0.1;RT1;0.0;0.0;2;50.0;
null;1;134.0;1;0.1;0.69;0.21;BT2;0.0;0.0;2;50.0;
null;1;140.0;1;0.1;0.69;0.21;BT2;0.0;0.0;2;50.0;
null;1;146.0;1;0.1;0.69;0.21;BT1;0.0;0.0;2;50.0;
null;1;149.0;0;0.09;0.81;0.1;RT1;0.0;0.0;2;50.0;
null;1;152.0;1;0.1;0.69;0.21;BT1;0.0;0.0;2;50.0;
null;1;158.0;1;0.1;0.69;0.21;BT3;0.0;0.0;2;50.0;
null;1;164.0;1;0.1;0.69;0.21;BT2;0.0;0.0;2;50.0;
null;1;170.0;1;0.1;0.69;0.21;BT2;0.0;0.0;2;50.0;
null;1;176.0;1;0.1;0.69;0.21;BT2;0.0;0.0;2;50.0;
